"nome","resumo","coordenador"
"SEXUALIDADE E DOENÇAS SEXUALMENTE TRANSMISSÍVEIS NA ADOLESCÊNCIA- CLINISEX","Este projeto é desenvolvido pelo núcleo de estudos da saúde do adolescente que tem uma experiência de 30 anos com este público alvo. O clinisex está inserido nas atividades de extensão do núcleo e conta com o suporte de uma equipe multidisciplinar em saúde. Segundo o censo ibge – 2010 na cidade do rio e janeiro a população adolescente é numerosa com mais 2 5 milhões de habitantes de 10 a 19 anos. Vale ressaltar que se observa tendência de aumento na prevalência da infecção pelo hiv nos jovens. De acordo com o ministério da saúde (brasil 2013) mais de 10 milhões dos infectados pelo vírus encontram-se na faixa etária entre 15 a 24 anos e a taxa de prevalência da população jovem apresenta tendência de aumento. Dados também nos apontam um aumento de 168 casos novos de homens na faixa etária de 13 a 19 anos notificados entre 2010 e 2013. Além disso estudos mostram que as maiores vitimas de homicídios são jovens homens negros e moradores de áreas periféricas e favelas com base neste quadro o programa prima pelo desenvolvimento de atividades docentes assistenciais extensão e pesquisa e tem como objetivos principais prestar assistência e orientação multidisciplinar sobre sexualidade aos adolescentes e jovens em especial aos adolescentes com ists e seus parceiros; adolescentes em situação e vulnerabilidade social escolares alunos de gradução da uerj assim como desenvolver atividades educativas-reflexivas junto a adolescentes e profissionais que lidem diretamente com adolescentes visando a promoção da saúde e a prevenção de agravos à saúde.","Fernanda Graneiro Bastos"
"VACINANDO A COMUNIDADE","O projeto de extensão vacinando a comunidade foi criado na década de 80 com objetivo de contribuir para a campanha nacional de vacinação contra a poliomielite capacitando alunos e enfermeiros. Ao longo dos anos as ações têm sido ampliadas com a utilização de vários imunobiológicos dispensados pelo ministério da saúde. Além disso passou a representar um importante papel na formação dos graduandos da faculdade de enfermagem com atuação dos discentes nas atividades. O projeto integra com os conteúdos de comunicação administração gerenciamento e articulação das campanhas. Espera fornecer a população vacinação de modo consciente. Compartilha com estudos epidemiológicos e recomendações oficiais para a utilização dos imunobiológico. Acredita na vacinação como investimento em saúde com excelente custo × efetividade que segundo a organização mundial da saúde possui um enorme impacto na saúde evitando milhões de mortes por ano e aumentando a expectativa de vida da população. O projeto intensifica as ações da rede pública de saúde nas campanhas em diferentes cenários. Oferece as vacinas com maior destaque para os adolescentes adultos e idosos grupos culturalmente com menor preocupação na atualização do calendário vacinal.","Fabiana Ferreira Koopmans"
"PROJETO POLÍTICAS PÚBLICAS DE SAÚDE: O POTENCIAL DOS MOVIMENTOS SOCIAIS E CONSELHOS DO RIO DE JANEIRO","Ao se pautar nas demandas da sociedade e na defesa das políticas públicas o projeto de extensão também conhecido como projeto pela saúde desenvolve suas ações de forma sintonizada com movimentos sociais e entidades que atuam no campo da saúde com destaque para as do serviço social. Essa sintonia também se dá no âmbito acadêmico por meio da articulação com outros projetos de pesquisa e extensão também voltados para a gestão democrática e a participação social na saúde. Sua proposta é através da assessoria aos movimentos sociais entidades e trabalhadores da saúde com destaque para as assistentes sociais proporcionar elementos teórico-críticos que possam impulsioná-los para análise crítica da política de saúde bem como para a defesa dos princípios do projeto de reforma sanitária brasileiro construído nos anos 1980 que deu origem ao sistema único de saúde (sus) e que desde a década de 1990 vem sendo desmontado pelo projeto privatista e suas versões. Para tanto estrutura-se a partir de três linhas de investigação-ação: a política de saúde nacional e no estado do rio de janeiro; a força de trabalho em saúde e o serviço social; e as lutas sociais pela saúde. A questão evidenciada nas três linhas configura-se como relevante porque o sus a cada dia mostra-se mais necessário e porque o desvelamento das contradições nele existentes constitui-se em uma condição necessária para a defesa dos seus princípios públicos universais e democráticos bem como dos interesses da classe trabalhadora. Compreende-se também que conhecer as demandas colocadas à categoria de assistentes sociais que atuam na saúde - situada no campo dos projetos em disputa - as respostas dadas por ela e os limites da elaboração e execução é fundamental para a análise crítica do trabalho profissional. Para o período entre 2025 a 2027 pretende-se dar continuidade à análise do contexto político e econômico nas três linhas de ação indicadas.","Rodriane De Oliveira Souza"
"AÇÕES DE ENFERMAGEM NA PREVENÇÃO E CONTROLE DA TUBERCULOSE","Trata-se de um projeto desenvolvido em unidades de saúde da família e centros municipais de saúde escolas e feiras de saúde com apoio da uerj – faculdade de enfermagem – departamento de saúde pública objetivando a participação efetiva da enfermagem no controle e tratamento da tuberculose. O projeto é desenvolvido pela minha coordenação desde 2015 mas faz parte de um dos projeto antigos da fenf/uerj. Possibilita o aluno de graduação em enfermagem a trabalhar conteúdos curriculares em formato de extensão e também possibilita uma abrangência social importante no desenvolvimento de educação em saúde sobre doenças transmissíveis.Com especificidade para a doenca tuberculoso","Paula Raquel Dos Santos"
"ODONTOLOGIA MÉDICA HOSPITALAR","A odontologia hospitalar desempenha um papel crucial na saúde integral dos pacientes internados sendo essencial para a prevenção e tratamento de problemas bucais que podem impactar a recuperação e bem-estar geral dos pacientes. O projeto odontologia médica hospitalar desenvolvido no hospital universitário pedro ernesto (hupe/uerj) busca não apenas prestar atendimento odontológico mas também educar e sensibilizar tanto os pacientes quanto a comunidade sobre a importância da saúde bucal. Através de atendimentos semanais nas enfermarias de pediatria dermatologia e cardiologia os alunos têm a chance de aplicar seus conhecimentos teóricos na prática desenvolvendo habilidades interpessoais e profissionais. Essa experiência não só enriquece a formação acadêmica mas também contribui para a formação de uma consciência social e ética sobre a importância da assistência odontológica em ambientes hospitalares. Além disso a publicação de artigos e a promoção de atividades educativas ampliam o alcance do projeto disseminando informações valiosas e promovendo uma cultura de cuidado com a saúde bucal. Essa iniciativa é fundamental para fortalecer a conexão entre a comunidade acadêmica e a sociedade ressaltando o impacto positivo que a odontologia pode ter na saúde pública. Em suma o projeto representa uma valiosa contribuição para o avanço do conhecimento científico e para a promoção de saúde em um contexto hospitalar.","Maria Eliza Barbosa Ramos"
"VIDA+ (ESTUDO DO IMPACTO DE PROGRAMA DE ATIVIDADES FÍSICAS PARA PORTADORES DE HIV-SIDA SOBRE INDICADORES IMUNOLÓGICOS DE APTIDÃO FÍSICA E QUALIDADE DE VIDA)","O exercício físico oferece diversos benefícios que contribuem para o bem-estar geral do indivíduo. Um problema que se apresenta no entanto relaciona-se à dificuldade de atrair pessoas vivendo com hiv para programas supervisionados de exercícios e à disponibilidade de centros especializados nas particularidades dessa população. Mesmo quando superadas essas barreiras a ausência de uma didática específica para condução de programas de atividades físicas para essa população resulta em elevadas taxas de evasão. Diante da alta demanda e carência de serviços voltados para pessoas com hiv em especial no que diz respeito ao exercício físico surgiu a ideia de criar um projeto que incorporasse um programa de exercícios supervisionados adaptado às suas necessidades. Assim em dezembro de 2004 nasceu o projeto de extensão vida+ da universidade do estado do rio de janeiro (uerj) sob a coordenação dos professores paulo de tarso veras farinatti (iefd) e dirce bonfim de lima (hupe) através de uma parceria entre o laboratório de atividade física e promoção da saúde (labsau) do instituto de educação física e desportos (iefd) e o ambulatório de doenças infecto parasitárias do hospital pedro ernesto (hupe). Os principais objetivos do projeto vida+ são: a) oferecer treinamento físico supervisionado envolvendo exercícios de flexibilidade força e aeróbio; b) desenvolver uma metodologia específica para a prescrição de exercícios seguros e eficazes para esses pacientes priorizando os benefícios do treinamento mas ao mesmo tempo preservando a adesão e a aderência ao programa; c) investigar permanentemente o efeito do programa sobre variáveis da aptidão física função cardiovascular bem-estar psicológico e função imunológica em pessoas vivendo com hiv; d) contribuir para a formação de profissionais habilitados a trabalhar com programas de exercícios físicos destinados a esse público; e) desenvolver um programa de educação em saúde para os participantes.","Juliana Pereira Borges"
"IDOSOS EM MOVIMENTO: MANTENDO A AUTONOMIA","O objetivo geral do projeto idosos em movimento: mantendo a autonomia (imma) é oferecer gratuitamente atividades físicas orientadas para a autonomia funcional de idosos. A população idosa cresce em quantidade e longevidade no país e no mundo. Estimular estratégias que estimulem o envelhecimento saudável com mais qualidade de vida tal como propõe o imma é primordial. Idealizado e criado em 17/10/1989 pelo professor dr. Alfredo gomes faria júnior (22/08/1937 – 11/06/2019) o imma já atendeu centenas de pessoas e vem promovendo a saúde de pessoas mais velhas pela prática regular de atividade física. Funciona também como um campo de atuação pedagógica e científica para alunos de graduação e pós-graduação do curso de educação física da uerj. Atualmente atendemos 50 alunos em 5 turmas e há mais 10 vagas imediatas para a composição de uma nova turma. O grupo é composto por pessoas de 60 a 91 anos aptos à prática regular de atividade física. As modalidades oferecidas são musculação e ginástica multicomponente. Nas aulas os participantes contam com uma infraestrutura que envolve uma sala de musculação com aparelhos modernos pesos livres esteiras e bicicletas ergométricas. Outra sala climatizada é usada para as aulas de ginástica multicomponente. Os idosos também passam por avaliações físicas e cognitivas no início e no final dos períodos acadêmicos como forma de redirecionar o treino se necessário. Participam de pesquisas ligadas ao programa de pós-graduação em ciências do exercício e do esporte e de aulas ministradas por alunos da disciplina gerontologia e educação física do bacharelado em educação física. O imma busca reduzir o isolamento incentivando o movimento como estratégia de autonomia. Integrados em grupo reencontram o prazer de se comunicar e se expressar. Além disso contribui para formar alunos bolsistas e voluntários na condução de atividades físicas para idosos.","Flávia Porto Melo Ferreira"
"SANGUE: VENCENDO O MEDO GARANTINDO A VIDA","O projeto “sangue: vencendo o medo garantindo a vida” foi pioneiro na faculdade de enfermagem da universidade do estado do rio de janeiro (uerj). Fundado em 1988 pela necessidade de discussão à época acerca da alta incidência de transmissão pós-transfusional da infecção por hiv e hepatites tão logo as atividades extensionistas foram voltadas em prol do incentivo à doação voluntária de sangue. A atividade inicial denominada dia uerj de doação de sangue desdobrou-se em um amplo conjunto de ações destinadas a diferentes públicos em distintos cenários. O grande desafio que se apresenta é mobilizar a sociedade brasileira diante da baixa adesão à doação de sangue voluntária. Apesar dos investimentos feitos por instâncias governamentais em programas educativos e divulgação na mídia o hábito de doar sangue é praticado por menos de 2% da população. Os objetivos consistem em desmistificar o ato de doar sangue para aumentar o contingente de doadores voluntários; difundir a importância sanitária da doação voluntária e da qualidade do sangue; contribuir para o aumento dos estoques de sangue do banco de sangue herbert de souza - hupe; introduzir a temática no conteúdo programático do curso de graduação em enfermagem (legislação pertinente orientações e critérios para a doação cuidados com o doador e no ensino fundamental das escolas envolvidas (aspectos básicos da doação e temas transversais como solidariedade e cidadania). O público-alvo é a comunidade uerjiana escolares do ensino fundamental e médio familiares e usuários do ambulatório e enfermarias cirúrgicas do hospital universitário pedro ernesto os seguidores das redes sociais do projeto e o público em geral. A adoção da premissa de que sem doação não há transfusão impulsiona o desenvolvimento de ações capazes de sensibilizar e incentivar a prática da doação de sangue indispensável à sobrevivência de milhares de pessoas.","Carine Silvestrini Sena Lima Da Silva"
"CONSULTA COLETIVA: UMA PROPOSTA DE ATENÇÃO À SAÚDE DA MULHER","O projeto envolve a realização de ações assistencias no formato de consulta de enfermagem e ações educativas com a metodologia da consulta coletiva visando a promoção da saúde e a prevenção de doenças às mulheres de diferentes etapas do ciclo de vida na perspectiva da integralidade e da redução da vulnerabilidade de gênero. Compreendendo que as ações terão como foco uma público vulnerável represantado pelas mulheres gestantges e puéperas nos embamos nos objetivos 3 e 5 dos objetivos para o desenvolimento sustentável/oms e as as diretrizes propostas pela política nacional de atenção integral à saúde da mulher – ms no propósito de estimular a construção do autocuidado e da autonomia feminina em relação ao seu próprio corpo propiciando o desenvolvimento de habilidades e competencias de cuidado pelos estudantes envolvidos. As ações acontecem em unidades de atenção básica ambulatoriais e hospitais maternidades da secretaria municipal de saúde do rio de janeiro. Dessa forma viabilizamos a integração das atividades teórico-práticas e práticas do curso de especialização em enfermagem obstétrica na modalidade de residência e a ementa da subárea i-saude e mulher do curso de gradução em enfermagem. Dessa forma as ações propiciam assistência às mulheres seus filhos e famílias no território assistido bem como promovem o desenvolvimento de habilidades e competencias de cuidado para dicentes de graduação e especialização. Atende a comunidade interna e externa da uerj com a oferta de ações assistenciais e eventos vinculados ao projeto de extensão nas areas da saúde sexual e reprodutiva.","Sandra Cristina De Souza Borges Silva"
"PROJETO DE EDUCAÇÃO PERMANENTE NA ÁREA DE ENFERMAGEM OBSTÉTRICA PARA O SUS","O projeto de educação permanente na área enfermagem obstétrica para o sus tem compromisso com a renovação do conhecimento para qualificar práticas baseando-as em evidências e cuidados não invasivos de enfermagem obstétrica à mulher no transcurso do período gravídico puerperal. Trata-se da elaboração de ações que se constituem em instrumento facilitador da articulação ensino-serviço. Iniciamos este projeto em uma parceria com a casa de parto david capistrano filho em 2005. Em 2006 ampliamos as atividades para todas as unidades de atenção obstétrica e neonatal geridas pela secretaria municipal de saúde do rio de janeiro. Trata-se de uma proposição de construção coletiva de ações apoiada na política de humanização e que se articula de forma interdisciplinar com vistas à melhoria na assistência ao trabalho de parto parto e pós-parto. Considerando que os desfechos positivos se vinculam com a atuação multiprofissional buscamos envolver diferentes profissionais que atuam no cuidado das mulheres tais como: enfermeiras obstetras assistentes sociais médicos e fisioterapeutas entre outros. A intenção é favorecer a circulação das melhores evidências científicas e a implantação de um cuidado multiprofissional com vistas à interdisciplinaridade e ao trabalho colaborativo resolutivo e integral. A inserção de discentes de diferentes áreas possibilita uma formação inclusiva e transversal que favoreça a compreensão da mulher e da família de uma forma mais ampla. Além disso o projeto se propõe a levar às mulheres e suas famílias informações de qualidade que favoreçam a tomada de decisões compartilhadas por meio de co-responsabilidade e protagonismo da mulher.","Marcele Zveiter"
