"nome","resumo","coordenador"
"EXERCÍCIO FÍSICO ADAPTADO PARA A GESTAÇÃO E PÓS-PARTO","A gestação é um período que envolve importantes adaptações anatomofisiológicas biomecânicas e emocionais no organismo materno as quais podem ser amenizadas com a prática regular de exercício físico (ef) adaptado para esta condição. Entre outros benefícios o ef contribui para melhorar a capacidade funcional diminuir o risco de depressão prevenir o ganho de peso excessivo e reduzir o risco de distúrbios metabólicos e cardiovasculares durante a gestação tais como diabetes melito gestacional e pré-eclâmpsia que constituem importantes fatores de risco para complicações na gravidez e óbito materno e/ou fetal. O ef também proporciona benefícios para a mulher no período pós-natal pois melhora a capacidade aeróbia a resistência muscular a postura contribui para o controle ponderal melhora a imagem corporal e reduz a ansiedade. Com base nesses pressupostos o objetivo desse projeto de extensão é oferecer um programa de ef adaptado para os períodos gestacional e pós-parto visando preparar física social e psicologicamente a gestante para melhor conviver com as alterações oriundas das diferentes fases da gravidez e do período pós-parto. O projeto tem como público alvo mulheres a partir da décima segunda semana de gestação de feto único e/ou no período pós-natal sem contraindicações para a prática de ef e devidamente autorizadas por seus obstetras. A base metodológica de implantação é um programa didático com ações direcionadas para a prática regular de exercício físico adaptado para essas fases e orientações direcionadas para a educação em saúde durante a gestação e no pós-parto.","Joyce Ferreira Carvalho"
"OFICINA DE INVENTO","A oficina de invento é um projeto desenvolvido com frequentadores do centro de convivência e cultura trilhos do engenho serviço da rede de atenção psicossocial do município do rio de janeiro vinculado ao instituto nise da silveira. Nele são realizadas oficinas expressivas de teatro desenho música cerâmica que têm por objetivo estimular a elaboração das diferentes experiências vividas pelos participantes sejam relativas à percepção de si e do outro do coletivo das relações institucionais e sociais ou dos laços familiares e comunitários. O projeto apoia-se nos pressupostos teóricos e pragmáticos da reforma psiquiátrica brasileira (brasil 2001) e em suas críticas a um modelo médico assistencial de natureza biologicista que se objetive em instituições violentas (basaglia 2005) com estruturas administrativas hierarquizadas e verticalizadas (amarante 2016). As atividades desenvolvidas são orientadas metodologicamente pelo método cartográfico e têm o pressuposto de que podemos pensar na construção da subjetividade como um processo complexo onde estão implicadas inúmeras variáveis individuais cognitivas mas também sociais e institucionais. Partem também da ideia de que podemos descrever esta construção como um processo ininterrupto onde as posições individuais se dão a partir de um diálogo constante com as diversas formas da alteridade que surgem. As oficinas são dirigidas a crianças e adolescentes atendidos pelos centros de atenção psicossocial infantojuvenil da chamada área programática 3.2. Mas também estão abertas a quaisquer crianças do território funcionando no contraturno do horário escolar","Renata Patricia Forain De Valentim"
"LIGA ACADÊMICA DE NEUROANATOMIA E MICROCIRURGIA UERJ","A neuroanatomia e microcirurgia são os pilares para o diagnóstico e tratamento das doenças do sistema nervoso. Seu estudo é utilizado por diversas áreas como a psicologia neurologia psiquiatria e neurocirurgia. Tema como o acidente vascular encefálico tumores cerebrais doenças da coluna vertebral possuem grande relevância na sociedade. O rápido avanço tecnológico está permitindo novas descobertas no campo da neurociência. O entendimento desse novo cenário somado ao interesse de aprender aprimorar o ensino médico construir e perpetuar o conhecimento científico fez com que alunos professores e profissionais da área médica da universidade do estado do rio de janeiro (uerj) desenvolvessem a ideia de fundar a liga acadêmica de neuroanatomia e microcirurgia (linem). A liga amplia e estende a integração dos alunos junto aos professores fomentando a disseminação do conhecimento da anatomia aplicada à saúde a produção do conhecimento científico e a apresentação de novas abordagens cirúrgicas através de cursos workshops aulas e eventos promovidos pela linem. Tendo o hupe e o departamento de anatomia da uerj como referências em assistência ensino e pesquisa e estando o mesmo integrado ao sus a linem exercerá uma função de difusora de conhecimento através dos alunos de graduação de medicina da faculdade de ciências médicas da uerj. A liga atuará portanto em caráter educacional e científico contribuindo com o processo de formulação e criação do conhecimento de forma contínua possibilitando assim ações integrativas entre a uerj e a sociedade.","Pedro Henrique Da Costa Ferreira Pinto"
"PREVENIR E INFORMAR: PRÁTICAS EDUCATIVAS PARA PROFISSIONAIS DE SAÚDE E CUIDADOS BÁSICOS PARA MAMÃE E BEBÊ","O projeto “prevenir e informar: práticas educativas para profissionais de saúde e cuidados básicos para mamãe e bebê” está em desenvolvimento no laboratório de biologia molecular e fisiologia de estreptococos (lbmfe/ibrag/dbcel) e tem como objetivo realizar atividades de popularização do patógeno (estreptococos do grupo b; egb) responsável por infecções e óbitos em gestantes e neonatos. Neste projeto a comunidade do hospital maternidade carmela dutra será esclarecida de forma simplificada e articulada sobre o egb e receberá informações para a prevenção conscientização diagnóstico e importância da triagem desse patógeno em todas as gestantes atendidas na maternidade com intuito de prevenir infecções invasivas severas e óbitos neonatais. As atividades serão planejadas e executadas por alunos de pós-graduação graduação e apoio técnico sob supervisão dos docentes orientadores. Além disso serão elaborados folders e banner para divulgação científica e palestras para os profissionais de saúde e gestantes na maternidade para a capacitação desses profissionais e para conscientização das futuras mamães da importância do rastreio desta bactéria durante os exames pré-natais como estratégia profilática.","Prescilla Emy Nagao Ferreira"
"VACINAÇÃO UERJ CONTRA A PANDEMIA DE COVID-19","O projeto de extensão ""vacinação uerj contra a covid-19"" tem como objetivo contribuir com a campanha nacional de vacinação contra a covid-19. Em parceria com a prefeitura municipal do rio de janeiro desde 01/02/2021 a vacinação da população foi iniciada pelo drive-thru e durante todo o seu período de funcionamento foram vacinados cerca de 24 mil idosos 600 crianças e atingindo a marca de 85 mil pessoas imunizadas efetuou cerca de 70 mil testagens bem como realizou mais de 5 3 mil pesquisas com voluntários para verificar a eficácia das vacinas. A uerj é a única universidade do brasil que está com o posto de vacinação há mais de um ano funcionando gerando impacto direto e de grande importância para a população e para o combate da pandemia de covid-19 no brasil. Agora no período pós vacinação o projeto tem como objetivo a produção de material bibliográfico com a experiência de vacinação obtida durante o período.","Claudia Goncalves De Lima"
"PROJETO DE PROMOÇÃO DA SAÚDE","O projeto tem como referência conceitual o debate contemporâneo sobre promoção da saúde e envelhecimento ativo alinhado à visão de educação em saúde na perspectiva da educação popular. Tem como objetivos: ampliar espaços de informação e debate que estimulem os idosos a pensar a relação corpo/vida e a atuar na direção de integrar o fazer individual e coletivo que envolve a saúde; contribuir para despertar ou reforçar a sensibilidade de estudantes e profissionais de saúde através do exercício interdisciplinar; produzir estudos em promoção da saúde e envelhecimento aprofundando estratégias metodológicas e de avaliação de ações educativas em saúde. Prevê diferentes modalidades de ações educativas entendendo que cada uma tem um grau de alcance próprio e que integradas e combinadas podem ampliar o potencial de informação comunicação e educação no serviço. Inclui os grupos encontros com a saúde roda da saúde sala de espera e a produção de materiais educativos (folders mural e conteúdo digital). O trabalho pauta-se numa visão de saúde articulada à qualidade de vida e concebe a educação como diálogo troca de experiências parceria respeito ao outro reflexão problematização da realidade e busca de alternativas/escolhas possíveis. Na dinâmica do serviço o projeto representa um “abrir portas” à participação aproximando profissionais e população fortalecendo o compromisso com assistência de qualidade centrada no vínculo na responsabilização e na partilha dos desafios à qualidade de vida e saúde no envelhecimento.","Lívia Bittencourt Ramos"
"ATENÇÃO ASILAR AOS IDOSOS","A demanda pela modalidade de cuidados asilar tende a crescer em virtude do envelhecimento da população idosa. Somado a isto a oferta de cuidadores familiares já apresenta evidências de redução dadas as mudanças na família a redução do seu tamanho e a participação maior das mulheres no mercado de trabalho. Quando as famílias se tornam menos disponíveis para cuidar dos seus membros dependentes seja por ausência de tempo rompimento ou fragilidade de vínculos afetivos dificuldade no manejo domiciliar a instituição de longa permanência se apresenta como alternativa para execução dos cuidados à pessoa idosa. O trabalho desenvolvido pela equipe da instituição de longa permanência para idosos (ipli) deve ser focado na integralidade dos indivíduos idosos oferecendo a eles atividades de estimulação e o convívio social cuidado à saúde assim como a busca pelo fortalecimento de vínculo com familiares e rede de apoio dos mesmos. Para tal profissionais e gestores precisam de capacitação continuada para garantia de bem estar das pessoas idosas e garantia de seus direitos vigentes em lei.","Sandra Rabello De Frias"
"TELEOFICINA ARTE E LUDICIDADE","O projeto em tela é resultado de uma experiência de sucesso que transformou a oficina presencial “arte e ludicidade” em virtual coordenada por sandra rabello e anderson amaral que ocorria no centro de convivência da unati garantindo a interação e a estimulação cognitiva dos idosos participantes mesmo durante o isolamento decorrente da pandemia principalmente da população idosa e com comorbidades. O professor anderson amaral criou uma metodologia inovadora adaptando os jogos cognitivos até então realizados presencialmente para o mundo virtual. Na intenção de acolher todos os idosos ele optou por utilizar o aplicativo do whatsapp pois esse é um aplicativo que exige menos dos dados móveis de internet um aplicativo de fácil acesso. Atualmente 35 alunos já são acompanhados no projeto e temos um e-book e disponibilizado gratuitamente desenvolvido para facilitar sua replicação em outros espaços que trabalhem com idosos. Atualmente estão sendo realizados encontros mensais presenciais lúdicos e oficinas on line gratuita para divulgar o modelo da oficina para os profissionais interessados.","Sandra Rabello De Frias"
"DEL (DÉFICIT ESPECÍFICO DA LINGUAGEM): CONHECENDO POPULAÇÕES EM CONDIÇÕES DIFERENCIADAS DE AQUISIÇÃO DA LÍNGUA","Este projeto de extensão intitulado “del (déficit específico da linguagem): conhecendo populações em condições diferenciadas de aquisição da língua” debruça-se sobre um distúrbio que atinge crianças para as quais a aquisição da linguagem não segue um padrão de desenvolvimento normal apesar de essas crianças não apresentarem deficiências externas ao domínio linguístico evidências de distúrbios neurológicos deficiências auditivas articulatórias ou privação social. Mais recentemente tem-se adotado a denominação transtorno do desenvolvimento da linguagem. A literatura aponta para construções particulares que apresentam dificuldades para o portador de del/tdl tais como passivas relativas e interrogativas do tipo qu assim como aspectos morfológicos particularmente em línguas de morfologia rica que constituem obstáculos para a expressão ou compreensão no del. As crianças acometidas com del/tdl não apresentam comprometimento cognitivo mas seu desempenho em várias tarefas linguísticas costuma equivaler ao desempenho apresentado por crianças sem queixa de linguagem três a quatro anos mais novas. Esse comprometimento linguístico traz consequências para a vida escolar e afetiva das crianças e não deve ser confundido com dificuldades de aprendizagem ou outro diagnóstico equivocado. O presente projeto tem por objetivos auxiliar na correta identificação dos portadores por meio da aplicação de uma bateria de testes em desenvolvimento prover o encaminhamento de possíveis portadores para tratamento fonoaudiológico assim como fornecer permanente esclarecimento sobre esse distúrbio junto aos profissionais que lidam diretamente com crianças em idade escolar (professores psicopedagogas fonoaudiólogas etc). Este projeto vincula-se a uma série de projetos faperj sob coordenação de letícia sicuro correa desenvolvidos pelo gppal - grupo de pesquisa em processamento e aquisição da linguagem/cnpq ligado ao lapal (laboratório de psicolinguística e aquisição da linguagem).","Marina Rosa Ana Augusto"
"PREPARAÇÃO E MANUTENÇÃO DO CONDICIONAMENTO FÍSICO DOS ALUNOS E ALUNAS DA ESCOLA DE FORMAÇÃO DE ÁRBITROS DA FERJ - EAFERJ.","O presente projeto expressa um plano e uma filosofia de trabalho que harmoniza o compromisso do instituto de educação física e desportos da universidade do estado do rio de janeiro – iefd com uma melhor formação teórico-prática de seus alunos em consonância com as necessidades do mercado de trabalho. O projeto de extensão ora denominado: preparação e manutenção do condicionamento físico dos alunos e alunas da escola de formação de árbitros da ferj - eaferj surge da parceria entre a eaferj e a federação de futebol do estado do rio de janeiro atavés da necessidade da ferj em preparar e condicionar os futuros árbitros de futebol para a atividade profissional que virão a desempenhar após a conclusão do curso. O projeto funcionará em dias de semana no horário de 19:00 horas às 21:00 horas nas instalações do complexo desportivo do iefd/uerj com a orientação e coordenação de docente do iefd e suporte de alunos e alunas do iefd que atuarão como monitores no projeto. O presente projeto tem como objetivo final futura servir como área de atuação para os estagiários da uerj dos cursos de licenciatura e bacharelado em educação física.","Carlos Elias Barroso Pimentel"
